Supplier_name,Product_name,offeringID,product_key,supplier_key,Unit_retail
"TotamNeque Inc.","Wooden Sint Fencing",00108bd8f565423391cbc73a438fcf98,1f53b7eecac941d2b71122e6f708dfe8,77dff980238c470dae9fac298b4a9bc8,228.3035084167
"EaRepellendus Company","Small Inventore Box",0016519f7a1c4eb8b108d1b6f05bef03,92a896a59649416c8a85262df5d3fa9e,6f986b85c2c24fd4b106f05d4dec349e,36.7782078097
"HarumAspernatur Supplier","Multiple Maxime Kit",00235dddff6941888cd0e75175baab20,e28c316e57cd429f9a4d3ebc7e890234,5ff960f81e034348a7f316204607f88d,441.3867139569
"ProvidentPerferendis & Sons","Multiple At Kit",006ac68bf260453d8ae0fd71bc852867,0e334d3d220e4c9d83d8c39534049829,f753a55455524d7088ffd67839bbc355,259.3938565135
"SedEx Company","Steel Aliquid Siding",00ece9b96fb849b4a61ef4f6588823ae,6e752675c611462cb236da7f020fd8dc,d5dd1baea8054b0abe55852a9bd03e34,301.0620642816
"ProvidentPerferendis & Sons","Heavy Voluptatem Bucket",010e779285024c11b6533e39b87bdb6e,4c6e0b2d51a44191b3d74b0867095b94,f753a55455524d7088ffd67839bbc355,7.2409432920
"ModiEst Supplier","Multiple Odit Kit",01a5ee692c3a4d25b5ae5e068c1311fa,1607c5cc2a85445b8ff375a7a18d67f2,87d7e23c6535415fba4d78a02a7db773,250.3760969949
"BeataeSint Company","Small Veritatis Box",01b453a97cab438f97bc0a18506b08f8,f5c07e659a7d4d96bd7f939285a7b539,9cef336789e041d8ace9091aae6c93d4,372.7002040367
"QuasiSunt & Sons","Heavy Ducimus Bucket",01c0adf093ed485fa1f8939ff115e98d,4873696561a947a3ae5d1afe6a3f8ea0,bbc6d19fe3144481b4077b2ed9aa3ebe,444.7064584007
"DignissimosAspernatur & Sons","Wooden Velit Fencing",01c9a58e62384dfbb16d8153121bf5b8,bb67c833dce144d9a3782234c13d887f,e3d118b9c1ac4ff7a957916a2333464d,482.1150104925
